	~=~=~=MPPT Charge Controller=~=~=~


VI CURVE : 
minimum current : 0.00
maximum current : 1.00
step size : 0.004
/..........\
/#########
19.10V, 0.00A, 0.00A
19.49V, 0.00A, 0.00A
19.49V, 0.00A, 0.01A
19.39V, 0.00A, 0.01A
19.39V, 0.00A, 0.02A
19.30V, 0.00A, 0.02A
19.20V, 0.00A, 0.02A
19.20V, 0.00A, 0.03A
19.20V, 0.00A, 0.03A
19.10V, 0.00A, 0.04A
19.01V, 0.00A, 0.04A
19.01V, 0.00A, 0.04A
18.91V, 0.00A, 0.05A
18.91V, 0.00A, 0.05A
18.82V, 0.02A, 0.06A
18.72V, 0.02A, 0.06A
18.72V, 0.02A, 0.06A
18.62V, 0.02A, 0.07A
18.43V, 0.02A, 0.07A
18.43V, 0.04A, 0.08A
18.43V, 0.04A, 0.08A
18.24V, 0.04A, 0.08A
18.24V, 0.04A, 0.09A
18.14V, 0.07A, 0.09A
18.05V, 0.07A, 0.10A
18.05V, 0.07A, 0.10A
17.95V, 0.07A, 0.10A
17.76V, 0.07A, 0.11A
17.66V, 0.07A, 0.11A
17.66V, 0.07A, 0.12A
17.47V, 0.07A, 0.12A
17.38V, 0.09A, 0.12A
17.38V, 0.09A, 0.13A
17.09V, 0.09A, 0.13A
16.90V, 0.09A, 0.14A
16.90V, 0.09A, 0.14A
16.61V, 0.11A, 0.14A
16.32V, 0.11A, 0.15A
16.42V, 0.11A, 0.15A
16.13V, 0.11A, 0.16A
15.74V, 0.11A, 0.16A
15.74V, 0.13A, 0.16A
15.46V, 0.13A, 0.17A
15.07V, 0.13A, 0.17A
14.59V, 0.13A, 0.18A
13.92V, 0.13A, 0.18A
6.72V, 0.16A, 0.18A
6.53V, 0.16A, 0.19A
5.86V, 0.16A, 0.19A
5.38V, 0.16A, 0.20A
5.09V, 0.16A, 0.20A
4.99V, 0.16A, 0.20A
4.90V, 0.16A, 0.21A
5.09V, 0.16A, 0.21A
5.09V, 0.16A, 0.22A
4.03V, 0.16A, 0.22A
4.90V, 0.16A, 0.22A
4.80V, 0.16A, 0.23A
5.28V, 0.16A, 0.23A
4.03V, 0.16A, 0.24A
4.70V, 0.16A, 0.24A
5.09V, 0.16A, 0.24A
4.70V, 0.16A, 0.25A
4.51V, 0.16A, 0.25A
3.84V, 0.16A, 0.26A
5.09V, 0.16A, 0.26A
3.94V, 0.16A, 0.26A
3.94V, 0.16A, 0.27A
3.94V, 0.16A, 0.27A
3.94V, 0.16A, 0.28A
3.94V, 0.16A, 0.28A
3.94V, 0.16A, 0.28A
3.94V, 0.16A, 0.29A
3.94V, 0.16A, 0.29A
3.94V, 0.16A, 0.30A
3.94V, 0.16A, 0.30A
3.94V, 0.16A, 0.30A
3.94V, 0.16A, 0.31A
3.94V, 0.16A, 0.31A
3.94V, 0.16A, 0.32A
3.94V, 0.16A, 0.32A
3.94V, 0.16A, 0.32A
3.94V, 0.16A, 0.33A
3.94V, 0.16A, 0.33A
3.94V, 0.16A, 0.34A
3.94V, 0.16A, 0.34A
3.94V, 0.16A, 0.34A
3.94V, 0.16A, 0.35A
3.94V, 0.16A, 0.35A
3.94V, 0.16A, 0.36A
3.94V, 0.16A, 0.36A
3.94V, 0.16A, 0.36A
3.94V, 0.16A, 0.37A
3.94V, 0.16A, 0.37A
3.94V, 0.16A, 0.38A
3.94V, 0.16A, 0.38A
3.94V, 0.16A, 0.38A
3.94V, 0.16A, 0.39A
3.94V, 0.16A, 0.39A
3.94V, 0.16A, 0.40A
3.94V, 0.16A, 0.40A
3.94V, 0.16A, 0.40A
3.94V, 0.16A, 0.41A
3.94V, 0.16A, 0.41A
3.94V, 0.16A, 0.42A
3.94V, 0.16A, 0.42A
3.94V, 0.16A, 0.42A
3.94V, 0.16A, 0.43A
3.94V, 0.16A, 0.43A
3.94V, 0.16A, 0.44A
3.94V, 0.16A, 0.44A
3.94V, 0.16A, 0.44A
3.94V, 0.16A, 0.45A
3.94V, 0.16A, 0.45A
3.94V, 0.16A, 0.46A
3.94V, 0.16A, 0.46A
3.94V, 0.16A, 0.46A
3.94V, 0.16A, 0.47A
3.94V, 0.16A, 0.47A
3.94V, 0.16A, 0.48A
3.94V, 0.16A, 0.48A
3.94V, 0.16A, 0.48A
3.94V, 0.16A, 0.49A
3.94V, 0.16A, 0.49A
3.94V, 0.16A, 0.50A
3.94V, 0.16A, 0.50A
3.94V, 0.16A, 0.50A
3.94V, 0.16A, 0.51A
3.94V, 0.16A, 0.51A
3.94V, 0.16A, 0.52A
3.94V, 0.16A, 0.52A
3.94V, 0.16A, 0.52A
3.94V, 0.16A, 0.53A
3.94V, 0.16A, 0.53A
3.94V, 0.16A, 0.54A
3.94V, 0.16A, 0.54A
3.94V, 0.16A, 0.54A
3.94V, 0.16A, 0.55A
3.94V, 0.16A, 0.55A
3.94V, 0.16A, 0.56A
3.94V, 0.16A, 0.56A
3.94V, 0.16A, 0.56A
3.94V, 0.16A, 0.57A
3.94V, 0.16A, 0.57A
3.94V, 0.16A, 0.58A
3.94V, 0.16A, 0.58A
3.94V, 0.16A, 0.58A
3.94V, 0.16A, 0.59A
3.94V, 0.16A, 0.59A
3.94V, 0.16A, 0.60A
3.94V, 0.16A, 0.60A
3.94V, 0.16A, 0.60A
3.94V, 0.16A, 0.61A
3.94V, 0.16A, 0.61A
3.94V, 0.16A, 0.62A
3.94V, 0.16A, 0.62A
3.94V, 0.16A, 0.62A
3.94V, 0.16A, 0.63A
3.94V, 0.16A, 0.63A
3.94V, 0.16A, 0.64A
3.94V, 0.16A, 0.64A
3.94V, 0.16A, 0.64A
3.94V, 0.16A, 0.65A
3.94V, 0.16A, 0.65A
3.94V, 0.16A, 0.66A
3.94V, 0.16A, 0.66A
3.94V, 0.16A, 0.66A
3.94V, 0.16A, 0.67A
3.94V, 0.16A, 0.67A
3.94V, 0.16A, 0.68A
3.94V, 0.16A, 0.68A
3.94V, 0.16A, 0.68A
3.94V, 0.16A, 0.69A
3.94V, 0.16A, 0.69A
3.94V, 0.16A, 0.70A
3.94V, 0.16A, 0.70A
3.94V, 0.16A, 0.70A
3.94V, 0.16A, 0.71A
3.94V, 0.16A, 0.71A
3.94V, 0.16A, 0.72A
3.94V, 0.16A, 0.72A
3.94V, 0.16A, 0.72A
3.94V, 0.16A, 0.73A
3.94V, 0.16A, 0.73A
3.94V, 0.16A, 0.74A
3.94V, 0.16A, 0.74A
3.94V, 0.16A, 0.74A
3.94V, 0.16A, 0.75A
3.94V, 0.16A, 0.75A
3.94V, 0.16A, 0.76A
3.94V, 0.16A, 0.76A
3.94V, 0.16A, 0.76A
3.94V, 0.16A, 0.77A
3.94V, 0.16A, 0.77A
3.94V, 0.16A, 0.78A
3.94V, 0.16A, 0.78A
3.94V, 0.16A, 0.78A
3.94V, 0.16A, 0.79A
3.94V, 0.16A, 0.79A
3.94V, 0.16A, 0.80A
3.94V, 0.16A, 0.80A
3.94V, 0.16A, 0.80A
3.94V, 0.16A, 0.81A
3.94V, 0.16A, 0.81A
3.94V, 0.16A, 0.82A
3.94V, 0.16A, 0.82A
3.94V, 0.16A, 0.82A
3.94V, 0.16A, 0.83A
3.94V, 0.16A, 0.83A
3.94V, 0.16A, 0.84A
3.94V, 0.16A, 0.84A
3.94V, 0.16A, 0.84A
3.94V, 0.16A, 0.85A
3.94V, 0.16A, 0.85A
3.94V, 0.16A, 0.86A
3.94V, 0.16A, 0.86A
3.94V, 0.16A, 0.86A
3.94V, 0.16A, 0.87A
3.94V, 0.16A, 0.87A
3.94V, 0.16A, 0.88A
3.94V, 0.16A, 0.88A
3.94V, 0.16A, 0.88A
3.94V, 0.16A, 0.89A
3.94V, 0.16A, 0.89A
3.94V, 0.16A, 0.90A
3.94V, 0.16A, 0.90A
3.94V, 0.16A, 0.90A
3.94V, 0.16A, 0.91A
3.94V, 0.16A, 0.91A
3.94V, 0.16A, 0.92A
3.94V, 0.16A, 0.92A
3.94V, 0.16A, 0.92A
3.94V, 0.16A, 0.93A
3.94V, 0.16A, 0.93A
3.94V, 0.16A, 0.94A
3.94V, 0.16A, 0.94A
3.94V, 0.16A, 0.94A
3.94V, 0.16A, 0.95A
3.94V, 0.16A, 0.95A
3.94V, 0.16A, 0.96A
3.94V, 0.16A, 0.96A
3.94V, 0.16A, 0.96A
3.94V, 0.16A, 0.97A
3.94V, 0.16A, 0.97A
3.94V, 0.16A, 0.98A
3.94V, 0.16A, 0.98A
3.94V, 0.16A, 0.98A
3.94V, 0.16A, 0.99A
3.94V, 0.16A, 0.99A
1.00V, 0.00A, 1.00A
Sampling Period : 500.00

	SETUP COMPLETE !! 

Press any button to continue

1,3.94,0.16,0.61,0.11,0.07
-1,19.30,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
1,19.58,0.00,0.00,0.00,0.01
