~=~=~=MPPT Charge Controller=~=~=~
Could not disable Reverse Turbo Mode
Could not write bit
Could not enable Input Current Limit Control
Could not enable Autocharging
Could not enable Auto charging
Could not disable two level adapter control
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
5.856V, 0.466A, 0.000A
5.856V, 0.466A, 0.004A
5.856V, 0.466A, 0.008A
5.856V, 0.466A, 0.012A
5.856V, 0.466A, 0.016A
11.808V, 0.000A, 0.020A
11.664V, 0.000A, 0.024A
11.520V, 0.000A, 0.028A
11.424V, 0.000A, 0.032A
11.424V, 0.000A, 0.036A
11.347V, 0.000A, 0.040A
11.328V, 0.000A, 0.044A
11.290V, 0.000A, 0.048A
11.232V, 0.009A, 0.052A
11.222V, 0.022A, 0.056A
11.136V, 0.022A, 0.060A
11.040V, 0.022A, 0.064A
11.040V, 0.022A, 0.068A
10.992V, 0.029A, 0.072A
10.944V, 0.042A, 0.076A
10.886V, 0.044A, 0.080A
10.848V, 0.044A, 0.084A
10.838V, 0.044A, 0.088A
10.752V, 0.060A, 0.092A
10.752V, 0.067A, 0.096A
10.675V, 0.067A, 0.100A
10.656V, 0.067A, 0.104A
10.608V, 0.067A, 0.108A
10.560V, 0.067A, 0.112A
10.522V, 0.067A, 0.116A
10.464V, 0.089A, 0.120A
10.464V, 0.089A, 0.124A
10.358V, 0.089A, 0.128A
10.349V, 0.089A, 0.132A
10.272V, 0.095A, 0.136A
10.234V, 0.104A, 0.140A
10.176V, 0.111A, 0.144A
10.176V, 0.111A, 0.148A
10.090V, 0.111A, 0.152A
10.080V, 0.111A, 0.156A
9.984V, 0.133A, 0.160A
9.984V, 0.133A, 0.164A
9.888V, 0.133A, 0.168A
9.888V, 0.133A, 0.172A
9.821V, 0.133A, 0.176A
9.792V, 0.149A, 0.180A
9.792V, 0.155A, 0.184A
9.696V, 0.155A, 0.188A
9.610V, 0.155A, 0.192A
9.600V, 0.155A, 0.196A
9.504V, 0.155A, 0.200A
9.504V, 0.155A, 0.204A
9.408V, 0.178A, 0.208A
