~=~=~=MPPT Charge Controller=~=~=~
Performing VI curve
minimum current : 0.000
maximum current : 2.000
step size : 0.004
Length is : 499
This will take aprox 99 seconds
Current limit set to : 0.000
Please, restart the electronic load
The test will initiate in 5 seconds
11.808V, 0.000A, 0.000A
11.770V, 0.000A, 0.004A
11.712V, 0.000A, 0.008A
11.702V, 0.000A, 0.012A
11.616V, 0.000A, 0.016A
11.606V, 0.000A, 0.020A
11.530V, 0.000A, 0.024A
11.520V, 0.000A, 0.028A
11.434V, 0.000A, 0.032A
11.424V, 0.000A, 0.036A
11.424V, 0.000A, 0.040A
11.328V, 0.000A, 0.044A
11.328V, 0.000A, 0.048A
11.242V, 0.009A, 0.052A
11.232V, 0.022A, 0.056A
11.146V, 0.022A, 0.060A
11.117V, 0.022A, 0.064A
11.040V, 0.022A, 0.068A
11.040V, 0.022A, 0.072A
10.963V, 0.044A, 0.076A
10.944V, 0.044A, 0.080A
10.867V, 0.044A, 0.084A
10.848V, 0.044A, 0.088A
10.838V, 0.051A, 0.092A
10.752V, 0.067A, 0.096A
10.752V, 0.067A, 0.100A
10.685V, 0.067A, 0.104A
10.656V, 0.067A, 0.108A
10.646V, 0.067A, 0.112A
10.560V, 0.067A, 0.116A
10.560V, 0.080A, 0.120A
10.464V, 0.089A, 0.124A
10.406V, 0.089A, 0.128A
10.368V, 0.089A, 0.132A
10.330V, 0.089A, 0.136A
10.282V, 0.111A, 0.140A
10.272V, 0.111A, 0.144A
10.186V, 0.111A, 0.148A
10.176V, 0.111A, 0.152A
10.176V, 0.111A, 0.156A
10.080V, 0.133A, 0.160A
10.070V, 0.133A, 0.164A
9.994V, 0.133A, 0.168A
9.946V, 0.133A, 0.172A
9.898V, 0.133A, 0.176A
9.888V, 0.138A, 0.180A
9.821V, 0.155A, 0.184A
9.792V, 0.155A, 0.188A
9.696V, 0.155A, 0.192A
9.696V, 0.155A, 0.196A
9.610V, 0.155A, 0.200A
9.600V, 0.158A, 0.204A
9.514V, 0.178A, 0.208A
9.504V, 0.178A, 0.212A
9.485V, 0.178A, 0.216A
9.408V, 0.178A, 0.220A
9.408V, 0.178A, 0.224A
9.312V, 0.198A, 0.228A
9.312V, 0.200A, 0.232A
9.235V, 0.200A, 0.236A
9.216V, 0.200A, 0.240A
9.216V, 0.200A, 0.244A
9.130V, 0.200A, 0.248A
9.120V, 0.200A, 0.252A
9.034V, 0.222A, 0.256A
8.966V, 0.222A, 0.260A
8.928V, 0.222A, 0.264A
8.909V, 0.229A, 0.268A
8.842V, 0.244A, 0.272A
8.832V, 0.244A, 0.276A
8.746V, 0.244A, 0.280A
8.736V, 0.244A, 0.284A
8.707V, 0.244A, 0.288A
8.640V, 0.246A, 0.292A
8.640V, 0.262A, 0.296A
8.573V, 0.266A, 0.300A
8.544V, 0.266A, 0.304A
8.477V, 0.266A, 0.308A
8.458V, 0.266A, 0.312A
8.438V, 0.269A, 0.316A
8.362V, 0.289A, 0.320A
8.342V, 0.289A, 0.324A
8.275V, 0.291A, 0.328A
8.246V, 0.291A, 0.332A
